name,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,asians_all,other_all,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,asians_all_percent,other_all_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_american_indian_and_alaska_native,majority_asian,majority_native_hawaiian,majority_other,majority_two_or_more_races,majority_latino,median_householdincome,total_occupied_housing_units,owner_occupied,renter_occupied,owner_percent,renter_percent,majority_owner,majority_renter,majorityhigherthanmedianincomeLA
East Los Angeles,169190.0,2381.0,272.0,181.0,1412.0,25.0,109.0,123.0,111816.0,1438.0,413.0,1.41,0.16,0.11,0.83,0.01,0.06,0.07,66.09,0.85,0.24,98.59,True,False,False,False,False,False,False,False,True,46418.78265810468,30170.490452441,10360.638047028,19809.852405413,0.3434030369297411,0.6565969630702588,False,True,False
East Pasadena,21163.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,99.99,True,False,False,False,False,False,False,False,False,92169.68522651675,1.97518647536,1.40253765209,0.57264882327,0.710078602494669,0.2899213975053308,True,False,True
East San Gabriel,50873.0,3129.0,174.0,0.0,9995.0,16.0,110.0,241.0,5034.0,10012.0,351.0,6.15,0.34,0.0,19.65,0.03,0.22,0.47,9.9,19.68,0.69,93.85,True,False,False,False,False,False,False,False,False,78493.19172573103,6033.374477735854,3250.7294963899226,2782.6449813459312,0.5387912698582941,0.4612087301417059,True,False,True
Echo Park,60931.0,10175.0,1276.0,120.0,5223.0,61.0,119.0,930.0,15022.0,5284.0,1168.0,16.7,2.09,0.2,8.57,0.1,0.2,1.53,24.65,8.67,1.92,83.3,True,False,False,False,False,False,False,False,False,69103.27151108165,12810.133227054,3271.112321603,9539.020905451,0.25535349739335,0.7446465026066499,False,True,True
El Monte,152227.0,3770.0,491.0,234.0,28459.0,730.0,133.0,373.0,65943.0,29188.0,740.0,2.48,0.32,0.15,18.69,0.48,0.09,0.24,43.32,19.17,0.49,97.52,True,False,False,False,False,False,False,False,False,49163.1382622008,25760.522051386,10420.069258907,15340.452792479,0.4044975966760878,0.5955024033239122,False,True,False
El Segundo,36124.0,10377.0,628.0,0.0,1702.0,9.0,70.0,1242.0,2714.0,1712.0,1312.0,28.73,1.74,0.0,4.71,0.03,0.19,3.44,7.51,4.74,3.63,71.27,True,False,False,False,False,False,False,False,False,108771.1426023207,6421.663922115,2794.244282335,3627.41963978,0.4351277669191235,0.5648722330808765,False,True,True
El Sereno,82276.0,3325.0,667.0,177.0,4615.0,7.0,127.0,580.0,32571.0,4622.0,884.0,4.04,0.81,0.22,5.61,0.01,0.15,0.7,39.59,5.62,1.07,95.96,True,False,False,False,False,False,False,False,False,57530.993319549874,11955.80460538,5909.271371189,6046.533234191001,0.4942596141567823,0.5057403858432177,False,True,False
Elizabeth Lake,12061.0,534.0,29.0,16.0,37.0,0.0,1.0,36.0,215.0,37.0,53.0,4.43,0.24,0.14,0.3,0.0,0.01,0.29,1.79,0.31,0.44,95.57,True,False,False,False,False,False,False,False,False,81725.37830676434,316.145721759,260.023365613,56.122356146,0.8224794698035406,0.1775205301964593,True,False,True
Elysian Park,32615.0,426.0,49.0,21.0,1003.0,0.0,0.0,51.0,1148.0,1004.0,73.0,1.31,0.15,0.07,3.08,0.0,0.0,0.16,3.52,3.08,0.22,98.69,True,False,False,False,False,False,False,False,False,50963.71020770106,936.078958139,140.506274719,795.57268342,0.1501008793086618,0.849899120691338,False,True,False
Elysian Valley,21625.0,1133.0,148.0,18.0,1579.0,19.0,0.0,147.0,4513.0,1597.0,166.0,5.24,0.68,0.08,7.3,0.09,0.0,0.68,20.87,7.39,0.77,94.76,True,False,False,False,False,False,False,False,False,66245.51034248262,2405.590370226,1110.738066728,1294.852303498,0.4617320057793748,0.5382679942206251,False,True,False
Encino,57213.0,30159.0,1108.0,29.0,3011.0,20.0,70.0,1407.0,5752.0,3031.0,1506.0,52.71,1.94,0.05,5.26,0.03,0.12,2.46,10.05,5.3,2.63,47.29,False,True,False,False,False,False,False,False,False,93485.688511832,16738.838003835,8986.444017934,7752.393985901,0.5368618786964265,0.4631381213035734,True,False,True
Exposition Park,66012.0,951.0,5195.0,27.0,933.0,10.0,85.0,303.0,18702.0,943.0,415.0,1.44,7.87,0.04,1.41,0.02,0.13,0.46,28.33,1.43,0.63,98.56,True,False,False,False,False,False,False,False,False,40028.91994785268,7049.582232129,2022.593351824,5026.988880305,0.2869096756692728,0.7130903243307272,False,True,False
Fairfax,38173.0,10489.0,447.0,28.0,1062.0,29.0,79.0,508.0,1240.0,1091.0,615.0,27.48,1.17,0.07,2.78,0.08,0.21,1.33,3.25,2.86,1.61,72.52,True,False,False,False,False,False,False,False,False,92124.9420465526,6322.079144211374,1828.205422965312,4493.873721246062,0.2891778766545899,0.7108221233454101,False,True,True
Florence,78422.0,236.0,8755.0,53.0,74.0,0.0,74.0,195.0,36875.0,74.0,322.0,0.3,11.16,0.07,0.09,0.0,0.09,0.25,47.02,0.09,0.41,99.7,True,False,False,False,False,False,False,False,False,39910.2578786888,10945.764879329,3170.744289221,7775.020590108,0.2896777268812825,0.7103222731187175,False,True,False
Florence-Firestone,113264.0,305.0,3819.0,39.0,67.0,0.0,147.0,115.0,59165.0,67.0,301.0,0.27,3.37,0.03,0.06,0.0,0.13,0.1,52.24,0.06,0.27,99.73,True,False,False,False,False,False,False,False,True,44471.664909554245,14191.56425701041,5274.3729825653,8917.19127444511,0.3716555051329061,0.6283444948670938,False,True,False
Gardena,90738.0,4666.0,12879.0,58.0,13307.0,664.0,342.0,1418.0,21880.0,13971.0,1817.0,5.14,14.19,0.06,14.67,0.73,0.38,1.56,24.11,15.4,2.0,94.86,True,False,False,False,False,False,False,False,False,58797.7488484291,19159.1957030136,8887.2275364444,10271.9681665692,0.4638622452740281,0.5361377547259719,False,True,False
Glassell Park,65710.0,4693.0,446.0,8.0,4359.0,14.0,32.0,535.0,13810.0,4373.0,574.0,7.14,0.68,0.01,6.63,0.02,0.05,0.81,21.02,6.66,0.87,92.86,True,False,False,False,False,False,False,False,False,65875.14376161584,7935.076574036,3479.247713312,4455.828860724,0.4384642896448267,0.5615357103551732,False,True,False
Glendale,245664.0,112476.0,3199.0,195.0,29299.0,177.0,178.0,4898.0,30601.0,29476.0,5272.0,45.78,1.3,0.08,11.93,0.07,0.07,1.99,12.46,12.0,2.15,54.22,True,False,False,False,False,False,False,False,False,66524.7495585392,67617.6534565365,23026.389450516497,44591.26400602,0.3405381327720501,0.6594618672279499,False,True,False
Glendora,79725.0,20403.0,738.0,140.0,4966.0,97.0,160.0,1497.0,14254.0,5062.0,1797.0,25.59,0.93,0.18,6.23,0.12,0.2,1.88,17.88,6.35,2.25,74.41,True,False,False,False,False,False,False,False,False,95290.04805719604,13659.287194378,9754.6735871681,3904.6136072099,0.7141422131590445,0.2858577868409556,True,False,True
Gramercy Park,45126.0,187.0,7755.0,46.0,24.0,59.0,59.0,508.0,2174.0,83.0,614.0,0.41,17.19,0.1,0.05,0.13,0.13,1.13,4.82,0.18,1.36,99.59,True,False,False,False,False,False,False,False,False,61409.65049810755,4222.663768494836,2503.8322309980263,1718.83153749681,0.592950887939277,0.4070491120607232,True,False,False
Granada Hills,82864.0,19476.0,1464.0,47.0,8421.0,41.0,42.0,1009.0,12114.0,8462.0,1098.0,23.5,1.77,0.06,10.16,0.05,0.05,1.22,14.62,10.21,1.33,76.5,True,False,False,False,False,False,False,False,False,96207.5660397014,13770.093544904,10199.886601577,3570.206943327,0.7407274735146405,0.2592725264853595,True,False,True
Green Meadows,66808.0,37.0,4894.0,0.0,27.0,5.0,51.0,145.0,12853.0,32.0,196.0,0.06,7.33,0.0,0.04,0.01,0.08,0.22,19.24,0.05,0.29,99.94,True,False,False,False,False,False,False,False,False,42580.28260810962,4359.817764142025,1929.661185818344,2430.156578323682,0.4426013402874614,0.5573986597125387,False,True,False
Green Valley,6577.0,62.0,0.0,0.0,1.0,0.0,1.0,5.0,20.0,1.0,6.0,0.95,0.01,0.0,0.02,0.0,0.01,0.08,0.31,0.02,0.09,99.05,True,False,False,False,False,False,False,False,False,75335.72007382332,36.172442678,25.005251009,11.167191669,0.6912790278387293,0.3087209721612707,True,False,True
Griffith Park,44021.0,128.0,4.0,0.0,21.0,0.0,2.0,7.0,33.0,21.0,9.0,0.29,0.01,0.0,0.05,0.0,0.0,0.02,0.07,0.05,0.02,99.71,True,False,False,False,False,False,False,False,False,97673.37990606774,90.118301884,41.71193235,48.406369534,0.4628575048350496,0.5371424951649503,False,True,True
Hacienda Heights,89310.0,5519.0,409.0,70.0,16022.0,19.0,103.0,418.0,22273.0,16041.0,591.0,6.18,0.46,0.08,17.94,0.02,0.11,0.47,24.94,17.96,0.66,93.82,True,False,False,False,False,False,False,False,False,86853.98675496888,12868.638434537,9564.419084538,3304.219349999,0.7432347356087728,0.2567652643912271,True,False,True
Hancock Park,24462.0,6084.0,187.0,2.0,1253.0,4.0,64.0,264.0,751.0,1257.0,330.0,24.87,0.76,0.01,5.12,0.02,0.26,1.08,3.07,5.14,1.35,75.13,True,False,False,False,False,False,False,False,False,105685.85493106669,3670.931736014,1793.334898982,1877.596837032,0.4885230856755874,0.5114769143244127,False,True,True
Hansen Dam,6382.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,16.0,11.0,1.0,0.23,0.0,0.0,0.18,0.0,0.0,0.01,0.25,0.18,0.01,99.77,True,False,False,False,False,False,False,False,False,60033.86313736053,12.492669948,9.907822542000002,2.584847406,0.7930908751484452,0.2069091248515549,True,False,False
Harbor City,61460.0,4013.0,1589.0,1.0,4405.0,149.0,28.0,626.0,10185.0,4555.0,654.0,6.53,2.59,0.0,7.17,0.24,0.04,1.02,16.57,7.41,1.06,93.47,True,False,False,False,False,False,False,False,False,66002.49601060242,7021.253641920001,3375.214806300001,3646.03883562,0.4807139833474281,0.5192860166525718,False,True,False
Harbor Gateway,87757.0,1899.0,1391.0,7.0,3985.0,27.0,272.0,637.0,7781.0,4012.0,916.0,2.16,1.59,0.01,4.54,0.03,0.31,0.73,8.87,4.57,1.04,97.84,True,False,False,False,False,False,False,False,False,53993.69380127945,5129.166406634,2174.927615595,2954.2387910390003,0.4240314006544954,0.5759685993455047,False,True,False
Harvard Heights,34130.0,1024.0,1407.0,0.0,4152.0,64.0,11.0,217.0,11992.0,4215.0,229.0,3.0,4.12,0.0,12.16,0.19,0.03,0.64,35.14,12.35,0.67,97.0,True,False,False,False,False,False,False,False,False,38339.79709839957,5852.476667191,1012.699195308,4839.777471883,0.1730377159784667,0.8269622840215332,False,True,False
Harvard Park,33194.0,198.0,3296.0,13.0,81.0,9.0,21.0,195.0,6065.0,89.0,228.0,0.6,9.93,0.04,0.24,0.03,0.06,0.59,18.27,0.27,0.69,99.4,True,False,False,False,False,False,False,False,False,43893.44771724391,3026.670363258,1555.37068286,1471.299680398,0.5138883645015613,0.4861116354984386,True,False,False
Hasley Canyon,13769.0,923.0,86.0,0.0,180.0,6.0,0.0,53.0,444.0,186.0,53.0,6.7,0.62,0.0,1.31,0.04,0.0,0.39,3.22,1.35,0.39,93.3,True,False,False,False,False,False,False,False,False,126237.07119815612,483.443272046,447.094214616,36.34905743,0.924812155775453,0.0751878442245471,True,False,True
Hawaiian Gardens,24620.0,1022.0,520.0,17.0,1751.0,30.0,100.0,159.0,11473.0,1780.0,277.0,4.15,2.11,0.07,7.11,0.12,0.41,0.65,46.6,7.23,1.12,95.85,True,False,False,False,False,False,False,False,False,53683.86914484255,3920.400648449,1886.010320069,2034.39032838,0.4810759126915124,0.5189240873084875,False,True,False
Hawthorne,138780.0,8651.0,19209.0,4.0,6382.0,411.0,470.0,1851.0,44881.0,6793.0,2324.0,6.23,13.84,0.0,4.6,0.3,0.34,1.33,32.34,4.89,1.67,93.77,True,False,False,False,False,False,False,False,False,55703.80092978515,27263.017797033,7224.143492725002,20038.874304308,0.2649795978753018,0.7350204021246982,False,True,False
Hermosa Beach,16038.0,5922.0,108.0,42.0,375.0,0.0,17.0,529.0,723.0,375.0,588.0,36.92,0.67,0.26,2.34,0.0,0.11,3.3,4.51,2.34,3.66,63.08,True,False,False,False,False,False,False,False,False,138908.70342271694,3352.8998244500003,1620.955269294,1731.9445551560002,0.483448762015995,0.5165512379840048,False,True,True
Hidden Hills,24909.0,1907.0,26.0,0.0,158.0,0.0,1.0,48.0,215.0,158.0,49.0,7.66,0.1,0.0,0.63,0.0,0.01,0.19,0.86,0.63,0.2,92.34,True,False,False,False,False,False,False,False,False,144891.50697360752,831.151331603,590.397740533,240.75359107,0.7103372371362618,0.2896627628637381,True,False,True
Highland Park,108796.0,9312.0,857.0,184.0,5771.0,43.0,180.0,1099.0,34603.0,5814.0,1463.0,8.56,0.79,0.17,5.3,0.04,0.17,1.01,31.81,5.34,1.34,91.44,True,False,False,False,False,False,False,False,False,61033.41506384247,16917.536179841,6879.20493654,10038.331243301,0.4066316077832472,0.5933683922167527,False,True,False
Historic South-Central,110746.0,651.0,3006.0,18.0,546.0,50.0,29.0,258.0,46435.0,596.0,306.0,0.59,2.71,0.02,0.49,0.04,0.03,0.23,41.93,0.54,0.28,99.41,True,False,False,False,False,False,False,False,False,39600.69070343588,11706.132499818,2212.277790467,9493.854709351,0.1889845164917956,0.8110154835082043,False,True,False
Hollywood,94665.0,25894.0,4652.0,97.0,4053.0,8.0,358.0,2268.0,24423.0,4061.0,2722.0,27.35,4.91,0.1,4.28,0.01,0.38,2.4,25.8,4.29,2.88,72.65,True,False,False,False,False,False,False,False,False,50042.88945122405,30835.532648007,2939.075217788,27896.457430219,0.0953145597106447,0.9046854402893552,False,True,False
Hollywood Hills,49534.0,13217.0,606.0,15.0,1207.0,30.0,150.0,640.0,2147.0,1237.0,805.0,26.68,1.22,0.03,2.44,0.06,0.3,1.29,4.33,2.5,1.63,73.32,True,False,False,False,False,False,False,False,False,88533.52568086583,9748.81983756,4379.491324541,5369.328513019,0.4492329735818698,0.5507670264181301,False,True,True
Hollywood Hills West,62428.0,11037.0,804.0,19.0,706.0,0.0,9.0,912.0,1387.0,706.0,940.0,17.68,1.29,0.03,1.13,0.0,0.01,1.46,2.22,1.13,1.51,82.32,True,False,False,False,False,False,False,False,False,129681.3403222244,6934.524945148,4358.416878735,2576.108066413,0.6285097988989901,0.3714902011010098,True,False,True
Huntington Park,103804.0,744.0,389.0,65.0,166.0,13.0,38.0,30.0,49510.0,179.0,133.0,0.72,0.37,0.06,0.16,0.01,0.04,0.03,47.7,0.17,0.13,99.28,True,False,False,False,False,False,False,False,False,42942.0499535365,12886.468197032,3215.850118882,9670.61807815,0.2495524816972482,0.7504475183027518,False,True,False
Hyde Park,78251.0,1395.0,15521.0,19.0,475.0,71.0,289.0,554.0,10344.0,546.0,862.0,1.78,19.83,0.02,0.61,0.09,0.37,0.71,13.22,0.7,1.1,98.22,True,False,False,False,False,False,False,False,False,42865.33869441696,10406.699840186977,5299.608300970713,5107.091539216263,0.5092496547758117,0.4907503452241882,True,False,False
Industry,148952.0,1930.0,297.0,43.0,8048.0,40.0,41.0,187.0,11581.0,8088.0,271.0,1.3,0.2,0.03,5.4,0.03,0.03,0.13,7.78,5.43,0.18,98.7,True,False,False,False,False,False,False,False,False,71440.1897581465,5909.8937978465065,4153.125690269617,1756.76810757689,0.7027411713866949,0.2972588286133052,True,False,True
Inglewood,155332.0,4190.0,36778.0,367.0,2002.0,426.0,444.0,2058.0,49891.0,2428.0,2869.0,2.7,23.68,0.24,1.29,0.27,0.29,1.32,32.12,1.56,1.85,97.3,True,False,False,False,False,False,False,False,False,54352.62879286189,31055.68064115391,11320.271469152289,19735.409172001622,0.3645153232980847,0.6354846767019153,False,True,False
Irwindale,81650.0,156.0,16.0,0.0,107.0,1.0,7.0,10.0,1707.0,109.0,17.0,0.19,0.02,0.0,0.13,0.0,0.01,0.01,2.09,0.13,0.02,99.81,True,False,False,False,False,False,False,False,False,70985.23970194781,536.018638196,363.788714306,172.22992389,0.678686688079263,0.321313311920737,True,False,True
Jefferson Park,31852.0,1441.0,6248.0,0.0,945.0,51.0,70.0,390.0,9658.0,996.0,461.0,4.52,19.61,0.0,2.97,0.16,0.22,1.23,30.32,3.13,1.45,95.48,True,False,False,False,False,False,False,False,False,43259.57221531197,6430.448392591,1462.28476983,4968.163622761,0.2274001252408475,0.7725998747591525,False,True,False
Koreatown,164051.0,10099.0,5623.0,363.0,39544.0,353.0,271.0,1905.0,47904.0,39898.0,2538.0,6.16,3.43,0.22,24.1,0.22,0.17,1.16,29.2,24.32,1.55,93.84,True,False,False,False,False,False,False,False,False,42886.988875169205,43536.405263001,2948.285619502,40588.119643499,0.0677200058592704,0.9322799941407296,False,True,False
La Canada Flintridge,43458.0,10555.0,158.0,0.0,5886.0,0.0,45.0,780.0,1848.0,5886.0,825.0,24.29,0.36,0.0,13.54,0.0,0.1,1.8,4.25,13.54,1.9,75.71,True,False,False,False,False,False,False,False,False,163233.04453704995,6021.527846591,5624.78077556,396.747071031,0.9341118930047608,0.0658881069952391,True,False,True
La Crescenta-Montrose,44771.0,6298.0,58.0,14.0,3563.0,1.0,62.0,250.0,1253.0,3564.0,326.0,14.07,0.13,0.03,7.96,0.0,0.14,0.56,2.8,7.96,0.73,85.93,True,False,False,False,False,False,False,False,False,105638.18024035952,3858.13464211509,3100.518137203062,757.6165049120284,0.803631398281971,0.1963686017180289,True,False,True
La Habra Heights,17095.0,5118.0,25.0,25.0,1188.0,0.0,121.0,151.0,3469.0,1188.0,296.0,29.94,0.15,0.14,6.95,0.0,0.71,0.88,20.29,6.95,1.73,70.06,True,False,False,False,False,False,False,False,False,119066.51962347572,3090.407879675,2629.453771029,460.954108646,0.8508436016884361,0.1491563983115639,True,False,True
La Mirada,57699.0,14070.0,773.0,101.0,9103.0,38.0,26.0,1199.0,18526.0,9141.0,1326.0,24.38,1.34,0.17,15.78,0.07,0.04,2.08,32.11,15.84,2.3,75.62,True,False,False,False,False,False,False,False,False,95056.20373779556,12586.463378094,9611.714365299,2974.749012795,0.763654894672607,0.2363451053273929,True,False,True
La Puente,77736.0,1437.0,338.0,99.0,4346.0,81.0,42.0,129.0,28940.0,4426.0,270.0,1.85,0.43,0.13,5.59,0.1,0.05,0.17,37.23,5.69,0.35,98.15,True,False,False,False,False,False,False,False,False,67232.14602187587,8263.289020447,5227.589352826,3035.699667621,0.632628162937379,0.3673718370626209,True,False,False
La Verne,51740.0,9419.0,719.0,9.0,1458.0,11.0,6.0,382.0,7933.0,1469.0,397.0,18.2,1.39,0.02,2.82,0.02,0.01,0.74,15.33,2.84,0.77,81.8,True,False,False,False,False,False,False,False,False,86537.93290834344,6670.453661259,4632.328313052,2038.125348207,0.6944547624932728,0.3055452375067273,True,False,True
Ladera Heights,36919.0,1768.0,1758.0,17.0,893.0,0.0,14.0,314.0,766.0,893.0,345.0,4.79,4.76,0.05,2.42,0.0,0.04,0.85,2.07,2.42,0.93,95.21,True,False,False,False,False,False,False,False,False,102390.07695623224,2757.165355333,1708.533133292,1048.632222041,0.6196701732042653,0.3803298267957345,True,False,True
Lake Balboa,47307.0,9817.0,1406.0,15.0,2625.0,0.0,399.0,1027.0,11600.0,2625.0,1441.0,20.75,2.97,0.03,5.55,0.0,0.84,2.17,24.52,5.55,3.05,79.25,True,False,False,False,False,False,False,False,False,81504.5535903927,9185.128462899,5598.776188882,3586.352274017,0.6095479460626858,0.3904520539373142,True,False,True
Lake Hughes,7097.0,104.0,5.0,0.0,10.0,0.0,9.0,6.0,77.0,11.0,15.0,1.47,0.07,0.0,0.14,0.0,0.12,0.08,1.09,0.15,0.21,98.53,True,False,False,False,False,False,False,False,False,86377.17026907222,69.934148316,39.383346662,30.550801654000004,0.5631490138986881,0.4368509861013119,True,False,True
Lake Los Angeles,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,True,False,False,False,False,False,False,False,False,44208.35054850823,0.0004521,0.00028875,0.00016335,0.6386861313868613,0.3613138686131387,True,False,False
Lake View Terrace,28962.0,2401.0,515.0,3.0,495.0,0.0,40.0,103.0,3764.0,495.0,146.0,8.29,1.78,0.01,1.71,0.0,0.14,0.36,12.99,1.71,0.51,91.71,True,False,False,False,False,False,False,False,False,70813.3452653089,2162.877241351,1489.599303313,673.277938038,0.6887119041405004,0.3112880958594995,True,False,True
Lakewood,123636.0,15362.0,4789.0,161.0,8475.0,642.0,29.0,1338.0,16439.0,9117.0,1527.0,12.43,3.87,0.13,6.86,0.52,0.02,1.08,13.3,7.37,1.24,87.57,True,False,False,False,False,False,False,False,False,93037.05210126546,15519.668964142,10758.093843465,4761.575120677,0.6931909352139817,0.3068090647860182,True,False,True
Lancaster,144254.0,36527.0,22927.0,350.0,4991.0,90.0,127.0,3189.0,46868.0,5081.0,3666.0,25.32,15.89,0.24,3.46,0.06,0.09,2.21,32.49,3.52,2.54,74.68,True,False,False,False,False,False,False,False,False,53091.81005216059,35336.080805158,18284.661472442,17051.419332716,0.5174501828106809,0.482549817189319,True,False,False
Larchmont,14093.0,2158.0,415.0,0.0,1938.0,6.0,1.0,363.0,2831.0,1944.0,364.0,15.31,2.94,0.0,13.75,0.04,0.01,2.58,20.09,13.79,2.58,84.69,True,False,False,False,False,False,False,False,False,66139.53187876058,3020.4698254449995,763.490390937,2256.979434508,0.2527720636389792,0.7472279363610209,False,True,False
Lawndale,63289.0,4757.0,3169.0,57.0,3579.0,326.0,168.0,517.0,20102.0,3905.0,741.0,7.52,5.01,0.09,5.66,0.52,0.26,0.82,31.76,6.17,1.17,92.48,True,False,False,False,False,False,False,False,False,62073.29803203385,9861.377178321,3382.601012993,6478.776165328,0.3430150730294775,0.6569849269705226,False,True,False
Leimert Park,55555.0,790.0,7573.0,0.0,314.0,11.0,1.0,317.0,2547.0,325.0,319.0,1.42,13.63,0.0,0.57,0.02,0.0,0.57,4.58,0.58,0.57,98.58,True,False,False,False,False,False,False,False,False,53354.30868694694,5439.134274638,2475.83355572,2963.300718918,0.4551889015251013,0.5448110984748987,False,True,False
Lennox,29562.0,268.0,474.0,8.0,588.0,145.0,109.0,48.0,13762.0,733.0,165.0,0.91,1.6,0.03,1.99,0.49,0.37,0.16,46.55,2.48,0.56,99.09,True,False,False,False,False,False,False,False,False,51230.40258505469,3683.96522779325,1131.39119880075,2552.5740289925,0.3071123446728269,0.6928876553271731,False,True,False
Leona Valley,14257.0,1557.0,214.0,39.0,132.0,0.0,1.0,47.0,512.0,132.0,87.0,10.92,1.5,0.27,0.93,0.0,0.01,0.33,3.59,0.93,0.61,89.08,True,False,False,False,False,False,False,False,False,109874.00139574292,808.3056659839999,720.3420604410001,87.963605543,0.8911753198761555,0.1088246801238446,True,False,True
Lincoln Heights,62064.0,1410.0,353.0,2.0,5527.0,22.0,7.0,167.0,17972.0,5549.0,176.0,2.27,0.57,0.0,8.9,0.04,0.01,0.27,28.96,8.94,0.28,97.73,True,False,False,False,False,False,False,False,False,42221.7983831197,7349.283215481,2079.997293734,5269.285921747,0.2830204297138203,0.7169795702861795,False,True,False
Littlerock,17950.0,117.0,7.0,8.0,0.0,0.0,0.0,7.0,245.0,0.0,14.0,0.65,0.04,0.04,0.0,0.0,0.0,0.04,1.37,0.0,0.08,99.35,True,False,False,False,False,False,False,False,False,49022.93146320022,100.179399765,67.172938492,33.006461273,0.670526462022868,0.3294735379771318,True,False,False
