datetime,altitude,speed
2020-01-26T09:45:29,1700,153
2020-01-26T09:45:23,2050,127
2020-01-26T09:45:15,2125,110
2020-01-26T09:45:08,1950,111
2020-01-26T09:45:00,1750,115
2020-01-26T09:44:49,1525,118
2020-01-26T09:44:39,1250,131
2020-01-26T09:44:13,1250,130
2020-01-26T09:44:04,1250,130
2020-01-26T09:43:51,1225,135
2020-01-26T09:43:42,1225,136
2020-01-26T09:43:32,1200,139
2020-01-26T09:43:23,1200,142
2020-01-26T09:43:15,1225,141
2020-01-26T09:43:07,1200,142
2020-01-26T09:42:56,1200,142
2020-01-26T09:42:47,1200,142
2020-01-26T09:42:33,1175,145
2020-01-26T09:42:27,1200,145
2020-01-26T09:42:18,1125,143
2020-01-26T09:42:02,1050,138
2020-01-26T09:41:38,1075,140
2020-01-26T09:41:30,1125,139
2020-01-26T09:41:21,1150,136
2020-01-26T09:41:14,1150,134
2020-01-26T09:41:08,1150,135
2020-01-26T09:41:02,1200,134
2020-01-26T09:40:51,1175,131
2020-01-26T09:40:44,1175,128
2020-01-26T09:40:38,1175,128
2020-01-26T09:40:29,1150,125
2020-01-26T09:40:23,1200,125
2020-01-26T09:40:17,1250,125
2020-01-26T09:40:11,1300,124
2020-01-26T09:40:03,1350,120
2020-01-26T09:39:55,1325,123
2020-01-26T09:39:47,1350,127
2020-01-26T09:39:41,1400,127
2020-01-26T09:39:33,1450,127
2020-01-26T09:39:26,1450,130
2020-01-26T09:39:20,1450,133
2020-01-26T09:39:11,1475,138
2020-01-26T09:39:04,1450,139
2020-01-26T09:38:58,1400,145
2020-01-26T09:38:50,1375,150
2020-01-26T09:38:44,1325,151
2020-01-26T09:38:32,1300,153
2020-01-26T09:38:25,1275,153
2020-01-26T09:38:14,1300,151
2020-01-26T09:38:08,1325,150
2020-01-26T09:37:56,1300,145
2020-01-26T09:37:48,1300,142
2020-01-26T09:37:40,1275,138
2020-01-26T09:37:34,1300,136
2020-01-26T09:37:28,1275,136
2020-01-26T09:37:22,1250,138
2020-01-26T09:37:16,1225,139
2020-01-26T09:37:10,1200,139
2020-01-26T09:36:59,1200,138
2020-01-26T09:36:52,1175,137
2020-01-26T09:36:43,1150,139
2020-01-26T09:36:37,1125,139
2020-01-26T09:36:31,1125,139
2020-01-26T09:36:20,1125,138
2020-01-26T09:36:13,1125,137
2020-01-26T09:36:07,1100,138
2020-01-26T09:36:01,1100,137
2020-01-26T09:35:55,1100,137
2020-01-26T09:35:47,1100,135
2020-01-26T09:35:39,1125,131
2020-01-26T09:35:32,1100,130
2020-01-26T09:35:24,1050,129
2020-01-26T09:35:18,1025,130
2020-01-26T09:35:12,975,129
2020-01-26T09:35:06,925,128
2020-01-26T09:35:00,900,127
2020-01-26T09:34:49,850,126
2020-01-26T09:34:37,850,129
2020-01-26T09:34:25,850,131
2020-01-26T09:34:18,850,130
2020-01-26T09:34:07,850,132
2020-01-26T09:34:01,825,133
2020-01-26T09:33:49,775,135
2020-01-26T09:33:37,775,135
2020-01-26T09:33:30,750,135
2020-01-26T09:33:21,750,135
2020-01-26T09:33:15,775,134
2020-01-26T09:33:09,750,132
2020-01-26T09:33:01,775,124
2020-01-26T09:32:51,850,101
2020-01-26T09:32:31,850,64
2020-01-26T09:32:22,850,51
2020-01-26T09:32:13,850,47
2020-01-26T09:32:06,825,46
2020-01-26T09:31:57,825,43
2020-01-26T09:31:51,825,43
2020-01-26T09:31:45,850,43
2020-01-26T09:31:37,875,48
2020-01-26T09:31:31,875,49
2020-01-26T09:31:24,875,48
2020-01-26T09:31:18,850,48
2020-01-26T09:30:57,900,59
2020-01-26T09:30:51,875,59
2020-01-26T09:30:29,850,49
2020-01-26T09:30:04,725,35
2020-01-26T09:29:54,725,34
2020-01-26T09:29:48,700,34
2020-01-26T09:29:42,700,35
2020-01-26T09:29:35,700,35
2020-01-26T09:28:35,700,45
2020-01-26T09:28:23,725,38
2020-01-26T09:26:35,750,53
2020-01-26T09:26:10,800,58
2020-01-26T09:26:03,775,60
2020-01-26T09:25:57,775,60
2020-01-26T09:25:51,800,53
2020-01-26T09:25:31,825,52
2020-01-26T09:25:05,750,62
2020-01-26T09:24:55,800,50
2020-01-26T09:24:45,800,51
2020-01-26T09:24:36,775,54
2020-01-26T09:24:26,800,58
2020-01-26T09:24:16,875,60
2020-01-26T09:24:09,900,59
2020-01-26T09:24:01,900,63
2020-01-26T09:23:50,900,69
2020-01-26T09:23:39,850,70
2020-01-26T09:23:33,850,71
2020-01-26T09:23:25,800,68
2020-01-26T09:23:14,775,65
2020-01-26T09:23:04,850,60
2020-01-26T09:22:53,875,62
2020-01-26T09:22:44,800,68
2020-01-26T09:22:38,775,68
2020-01-26T09:22:23,775,69
2020-01-26T09:22:14,750,68
2020-01-26T09:22:03,800,56
2020-01-26T09:21:53,775,57
2020-01-26T09:21:43,700,64
2020-01-26T09:21:20,700,75
2020-01-26T09:20:59,700,102
2020-01-26T09:20:51,750,115
2020-01-26T09:20:39,750,133
2020-01-26T09:20:30,725,136
2020-01-26T09:20:24,750,135
2020-01-26T09:20:17,700,137
2020-01-26T09:20:08,700,137
2020-01-26T09:20:00,700,138
2020-01-26T09:19:53,700,141
2020-01-26T09:19:45,700,139
2020-01-26T09:19:38,700,140
2020-01-26T09:19:32,700,140
2020-01-26T09:19:26,750,137
2020-01-26T09:19:20,725,135
2020-01-26T09:19:14,700,134
2020-01-26T09:18:50,625,136
2020-01-26T09:18:42,600,140
2020-01-26T09:18:32,600,140
2020-01-26T09:18:26,600,139
2020-01-26T09:18:20,600,139
2020-01-26T09:18:09,600,140
2020-01-26T09:18:02,575,140
2020-01-26T09:17:51,625,138
2020-01-26T09:17:39,600,142
2020-01-26T09:17:33,575,145
2020-01-26T09:17:26,550,149
2020-01-26T09:17:15,500,150
2020-01-26T09:17:08,500,151
2020-01-26T09:17:02,525,150
2020-01-26T09:16:56,500,150
2020-01-26T09:16:50,525,150
2020-01-26T09:16:44,500,149
2020-01-26T09:16:37,500,150
2020-01-26T09:16:31,500,149
2020-01-26T09:16:25,500,149
2020-01-26T09:16:19,475,149
2020-01-26T09:16:13,450,149
2020-01-26T09:16:07,475,148
2020-01-26T09:16:00,475,148
2020-01-26T09:15:53,475,148
2020-01-26T09:15:45,500,147
2020-01-26T09:15:38,450,146
2020-01-26T09:15:32,450,147
2020-01-26T09:15:26,450,148
2020-01-26T09:15:20,425,148
2020-01-26T09:15:11,425,148
2020-01-26T09:15:04,425,149
2020-01-26T09:14:58,450,146
2020-01-26T09:14:52,425,148
2020-01-26T09:14:39,400,150
2020-01-26T09:14:32,425,151
2020-01-26T09:14:26,450,148
2020-01-26T09:14:20,450,148
2020-01-26T09:14:08,425,148
2020-01-26T09:14:02,425,149
2020-01-26T09:13:56,425,150
2020-01-26T09:13:50,425,149
2020-01-26T09:13:44,400,151
2020-01-26T09:13:38,400,152
2020-01-26T09:13:31,400,152
2020-01-26T09:13:20,400,152
2020-01-26T09:13:13,400,153
2020-01-26T09:13:07,400,153
2020-01-26T09:12:56,400,155
2020-01-26T09:12:50,425,152
2020-01-26T09:12:38,400,155
2020-01-26T09:12:31,400,155
2020-01-26T09:12:25,425,155
2020-01-26T09:12:16,450,157
2020-01-26T09:12:10,475,155
2020-01-26T09:12:01,500,157
2020-01-26T09:11:50,550,155
2020-01-26T09:11:44,600,152
2020-01-26T09:11:37,625,150
2020-01-26T09:11:31,625,151
2020-01-26T09:11:20,600,152
2020-01-26T09:11:14,600,153
2020-01-26T09:11:08,600,152
2020-01-26T09:10:56,650,153
2020-01-26T09:10:49,650,155
2020-01-26T09:10:38,750,151
2020-01-26T09:10:26,750,150
2020-01-26T09:10:19,750,150
2020-01-26T09:10:13,775,148
2020-01-26T09:10:07,750,146
2020-01-26T09:10:01,725,146
2020-01-26T09:09:49,700,146
2020-01-26T09:09:38,675,146
2020-01-26T09:09:32,650,145
2020-01-26T09:09:26,625,146
2020-01-26T09:09:20,650,144
2020-01-26T09:09:13,650,139
2020-01-26T09:09:07,600,138
2020-01-26T09:08:55,500,140
2020-01-26T09:08:48,475,141
2020-01-26T09:08:42,450,141
2020-01-26T09:08:35,425,140
2020-01-26T09:08:22,400,143
2020-01-26T09:08:16,425,142
2020-01-26T09:08:09,450,139
2020-01-26T09:07:59,425,140
2020-01-26T09:07:53,450,137
2020-01-26T09:07:40,450,132
2020-01-26T09:07:28,400,126
2020-01-26T09:07:19,400,119
2020-01-26T09:07:10,325,111
2020-01-26T09:07:03,275,106
2020-01-26T09:06:55,250,89
2020-01-26T09:06:48,175,71
2020-01-26T09:06:42,75,62
