,geometry
0,POINT (-81.39091451671884 26.837876023625128)
1,POINT (-81.01319329197766 26.360947257276244)
2,POINT (-81.50641697103636 26.5037869849069)
3,POINT (-81.0640178633055 26.71831756471587)
4,POINT (-81.22810836776101 26.6054578886483)
5,POINT (-81.67159288469688 26.15611800435949)
6,POINT (-81.45030033902984 26.442017423285552)
7,POINT (-81.56444506525389 26.230302466614937)
8,POINT (-81.2878184827879 26.91569782070878)
9,POINT (-81.68708640418487 26.1280360761646)
10,POINT (-81.37676123961731 26.598921025598738)
11,POINT (-81.71034714299664 26.452690084034742)
12,POINT (-81.56948174747374 26.709406574208394)
13,POINT (-81.73441226834808 26.563459832408387)
14,POINT (-81.3448436609913 26.139889136358658)
15,POINT (-81.26385804799797 26.040480769863997)
16,POINT (-81.5251579604636 26.50715929195237)
17,POINT (-81.56499101277457 26.033910279368257)
18,POINT (-81.771107668865 26.546779593979387)
19,POINT (-81.34482090127527 26.115102931073338)
20,POINT (-81.52131187837188 26.55769949752235)
21,POINT (-81.35882951098851 25.919845950500296)
22,POINT (-81.28235155964924 26.422547402278635)
23,POINT (-81.79394371115988 26.55963740785234)
24,POINT (-81.47752265093952 26.366797388654717)
25,POINT (-81.62749552613892 26.19819482537878)
26,POINT (-81.62749552613892 26.19819482537878)
27,POINT (-81.77343703093945 26.540853186421245)
28,POINT (-81.56714347590832 26.15286515676297)
29,POINT (-81.6344424856919 26.17803807278155)
30,POINT (-81.92251555512007 27.59483095008812)
31,POINT (-81.70511360486374 26.57797256316981)
32,POINT (-80.97851148672964 26.37167318384765)
33,POINT (-81.69473438922265 26.57358143481326)
34,POINT (-81.35133129127829 26.929304614281453)
35,POINT (-81.34287173497516 26.313630063965007)
36,POINT (-81.77448627127613 26.511729926122687)
37,POINT (-81.4952155911961 26.317762768457527)
38,POINT (-81.61704308792069 26.153851898656946)
39,POINT (-81.32409969617846 26.768496310953743)
40,POINT (-81.59011066235321 26.450799419393867)
41,POINT (-81.32806104379922 26.419172230757262)
42,POINT (-81.30344311318824 26.5837739195511)
43,POINT (-81.62369934546122 26.53383117070622)
44,POINT (-81.68708948271136 26.118302466892114)
45,POINT (-81.27122163629826 26.76829136313581)
46,POINT (-81.65435109813889 26.212910221095726)
47,POINT (-81.32584492155287 26.419195356046107)
48,POINT (-81.02564203469223 25.995488977123298)
49,POINT (-81.31939785020099 26.419534952530313)
50,POINT (-81.50110696471323 26.715506051673678)
51,POINT (-81.35933947559215 26.374203595470703)
52,POINT (-81.35242803362888 26.41883435403093)
53,POINT (-81.52037246157023 26.507474782686305)
54,POINT (-81.51055687229459 26.505009207635975)
55,POINT (-81.39621034133859 26.40718945657163)
56,POINT (-81.54467038442925 27.67364301273466)
57,POINT (-81.45759254450272 26.55868582933679)
58,POINT (-81.12689095273596 26.558614658135543)
59,POINT (-81.39137801326947 26.153621577865014)
60,POINT (-81.32172121332596 26.5913543053206)
61,POINT (-81.53106302520398 26.542973409980423)
62,POINT (-81.34497541869067 26.36085749760893)
63,POINT (-80.41321513878945 26.984173009434695)
64,POINT (-81.2367757484068 26.291108347691008)
65,POINT (-81.43529190171043 26.536950625250416)
66,POINT (-81.77301457032931 26.39659370592625)
67,POINT (-81.44422779598115 26.183382955366366)
68,POINT (-81.27220738730394 26.768298502160516)
69,POINT (-81.17499691029865 26.428353356415283)
70,POINT (-81.62039182853516 26.532879510655114)
71,POINT (-81.62691362175237 26.229691432200102)
72,POINT (-81.62691362175237 26.229691432200102)
73,POINT (-81.62691362175237 26.229691432200102)
74,POINT (-81.6624712017574 26.559406465994993)
75,POINT (-81.35480830323047 26.442954535684564)
76,POINT (-81.69257008629346 26.572671043140577)
77,POINT (-81.07683512369567 26.45988885500397)
78,POINT (-81.30592636745062 26.421884923014378)
79,POINT (-81.50363088211529 26.713321187339435)
80,POINT (-81.52147761215188 26.5077506461499)
81,POINT (-81.30475347221845 26.42204092505158)
82,POINT (-81.62015529673094 26.229576282752685)
83,POINT (-81.23291274564838 25.99040053661683)
84,POINT (-81.50120742510809 26.63502293304936)
85,POINT (-81.51491173770536 26.22210018140424)
86,POINT (-81.27596970778362 26.76848083146364)
87,POINT (-81.56092666701826 26.25859598227575)
88,POINT (-81.46741700733672 26.557525318785228)
89,POINT (-81.59479742651537 26.33781726968059)
90,POINT (-81.5978817920434 26.163314223089298)
91,POINT (-81.17817612354762 26.428394576400684)
92,POINT (-81.74448405534612 26.55903766868835)
93,POINT (-81.11864614139647 26.459155966360562)
94,POINT (-81.11864614139647 26.459155966360562)
95,POINT (-81.43400090586617 26.447142227236796)
96,POINT (-81.7895975719838 26.170336168344576)
97,POINT (-81.59537658654872 26.351123808282633)
98,POINT (-81.7895975719838 26.170336168344576)
99,POINT (-81.15148195275304 26.60637269334983)
100,POINT (-81.63879486546428 26.229268920729606)
101,POINT (-81.555842276172 26.0543705933726)
102,POINT (-81.3420307753253 26.269451221508596)
103,POINT (-81.12743796476023 26.608346536534484)
104,POINT (-81.31863349259037 26.15475801497775)
105,POINT (-81.52087483900299 26.507608384401482)
106,POINT (-81.62853980058871 26.26585538382475)
107,POINT (-81.23713546618592 26.33496366296872)
108,POINT (-81.34705294795667 25.99687183499661)
109,POINT (-81.31254178129014 26.42068778616928)
110,POINT (-80.99549725792323 26.754212920027516)
111,POINT (-81.4583181559785 26.366869164695483)
112,POINT (-81.41710509106683 26.390082900132146)
113,POINT (-80.98136099221823 26.541848591594817)
114,POINT (-80.98151146901147 26.542498712203972)
115,POINT (-81.47800271601724 26.7321535322498)
116,POINT (-81.65278668207159 26.27333170332052)
117,POINT (-80.88568932031149 26.300278609038536)
118,POINT (-81.7003319857941 26.163583743474092)
119,POINT (-81.3292682043696 26.816752221140526)
120,POINT (-81.73210214010217 26.564898257909338)
121,POINT (-81.0239457037204 26.398210140105565)
122,POINT (-81.12690668672816 26.572898739754613)
123,POINT (-81.59538535949578 26.35087998522698)
124,POINT (-80.9813119729498 26.534598149281372)
125,POINT (-81.27227465764398 27.450745831356237)
126,POINT (-81.17608042405837 26.455006467868174)
127,POINT (-81.12847389475935 26.429179248754167)
128,POINT (-81.51817369028359 26.721187037245915)
129,POINT (-80.94003218207713 26.171306224466196)
130,POINT (-81.68668991925948 26.169680993282945)
131,POINT (-81.65699963971862 26.272725589730147)
132,POINT (-81.23842936089359 26.423458073264985)
133,POINT (-81.63140326499848 26.25832149929642)
134,POINT (-81.22250355861614 26.605394529467528)
135,POINT (-81.31399516738495 26.420431783547887)
136,POINT (-81.53836964324725 26.482388653137598)
137,POINT (-81.61605977853596 28.258017004846725)
138,POINT (-80.98148040167568 26.548421848487074)
139,POINT (-81.57178437119376 26.446630284243682)
140,POINT (-81.37481127561323 26.41910249686125)
141,POINT (-81.49613026300493 26.50130402303646)
142,POINT (-81.54470724769524 26.51358686110059)
143,POINT (-81.69449667074396 27.240667220528607)
144,POINT (-81.50925107041782 26.504733974278444)
145,POINT (-81.50973564683488 26.233477559683205)
146,POINT (-80.95478667015728 26.520759474551166)
147,POINT (-81.20645335943479 26.605671530850152)
148,POINT (-81.78458760116892 26.462287534671145)
149,POINT (-81.76791299471166 26.437693394873136)
150,POINT (-81.74960014055225 26.555309080225957)
151,POINT (-81.34303748492486 26.325683867783322)
152,POINT (-81.40334710143638 26.596202683791642)
153,POINT (-81.34216033574546 26.26923420653122)
154,POINT (-81.55439528069212 26.23068469600498)
155,POINT (-81.7309142043772 26.565978774169135)
156,POINT (-81.33665173077763 27.070239251976783)
157,POINT (-81.56507799933847 26.709306802347992)
158,POINT (-81.43442945256234 26.4624453067297)
159,POINT (-81.54782693947183 26.166357626022556)
160,POINT (-81.34589397032319 26.19411811273733)
161,POINT (-81.53849727049294 26.511931047893867)
162,POINT (-81.24354018736204 26.416939345429604)
163,POINT (-81.42473318381094 26.216570899515972)
164,POINT (-81.41624400466301 26.29516050416494)
165,POINT (-81.3287308348616 27.141410607443408)
166,POINT (-81.7429506473258 26.55945196434341)
167,POINT (-81.10939076578651 25.938236475486956)
168,POINT (-81.36151281287816 25.915667489948426)
169,POINT (-81.30389261757999 26.639870239075634)
170,POINT (-81.77350562180297 26.410098220767367)
171,POINT (-81.0278555248748 26.43816425038805)
172,POINT (-81.57379824853368 26.277669085473388)
173,POINT (-81.56013073182876 26.230436725937334)
174,POINT (-81.74760995537962 26.32183360478624)
175,POINT (-81.65739321859405 26.273256508691915)
176,POINT (-81.80010729307273 26.64326170517601)
177,POINT (-81.60095314457622 26.153468465574136)
178,POINT (-81.68358468766404 26.22910803015118)
179,POINT (-82.022103048029 28.0101669236683)
180,POINT (-80.90685109605455 26.207244521614342)
181,POINT (-81.68930027615144 26.097903697769915)
182,POINT (-81.49857098832682 26.501819199753882)
183,POINT (-81.54257752990449 26.51314352904024)
184,POINT (-81.63310580422721 26.53769920788004)
185,POINT (-81.79395826296918 26.566119883696302)
186,POINT (-81.54503958123125 26.51382937398913)
187,POINT (-80.81776105324779 27.595266817230367)
188,POINT (-81.7775278338775 26.54759341060971)
189,POINT (-81.51733319685935 26.19919299755185)
190,POINT (-81.17510578161951 26.60606568649703)
191,POINT (-81.34730768681504 26.363181422775252)
192,POINT (-81.07037541214942 25.860693116624947)
193,POINT (-80.98114232341345 26.52849439160063)
194,POINT (-81.5292489304883 26.49544259323792)
195,POINT (-81.30190435120883 26.582901372090863)
196,POINT (-81.18686745597383 26.062976635787187)
197,POINT (-81.41904520863709 26.80511166584171)
198,POINT (-81.54802411159186 26.366237965737778)
199,POINT (-81.59416283953068 25.987652274037178)
200,POINT (-81.50032202939438 26.15325724793368)
201,POINT (-81.60343737081575 26.00193476764089)
202,POINT (-81.69526491895807 26.162876931130015)
203,POINT (-81.27940718128689 25.894998924448327)
204,POINT (-81.27367600253774 26.311431154557553)
205,POINT (-81.69183957450778 26.162297499020326)
206,POINT (-81.29229202013926 26.022935413951494)
207,POINT (-81.55825838855343 26.23039886413754)
208,POINT (-81.50567773571099 26.712402005218525)
209,POINT (-81.72652779732017 26.570948944293807)
210,POINT (-81.59519590749731 26.347151742602442)
211,POINT (-81.63945322276972 26.489384445662413)
212,POINT (-81.18532892935302 26.139812396636703)
213,POINT (-81.1681881493656 25.870554791030177)
214,POINT (-81.12755301110036 26.60339849409778)
215,POINT (-81.77358397286204 26.418837716037313)
216,POINT (-81.59244227650407 26.483032271132284)
217,POINT (-81.34296436026409 26.321268686478675)
218,POINT (-81.65069586941748 26.1549678930023)
219,POINT (-81.62616737597449 26.392706836708264)
220,POINT (-81.44559012794046 26.36730661865114)
221,POINT (-81.56882977988494 26.06099283320534)
222,POINT (-81.70092251221072 26.027707567212882)
223,POINT (-81.77299493495384 26.41772132501622)
224,POINT (-81.3449569771762 26.113757191953955)
225,POINT (-81.12450734499478 26.452415137242312)
226,POINT (-81.02226904495497 26.070987870677854)
227,POINT (-81.6100478340397 26.216924384736036)
228,POINT (-81.6043841178701 26.368060811251183)
229,POINT (-81.56980754127447 26.153432523647243)
230,POINT (-81.79298221826014 26.565809317968952)
231,POINT (-81.41716700385452 26.401730414565666)
232,POINT (-81.65407954012346 26.155322767405675)
233,POINT (-81.57443549273498 26.221928841681738)
234,POINT (-81.23281832822043 26.515619617943845)
235,POINT (-81.58797074059915 26.230018539555775)
236,POINT (-81.6999845470866 26.04142777600612)
237,POINT (-81.06418774820045 26.680594417582505)
238,POINT (-81.59425823971553 26.230073944827218)
239,POINT (-80.97891939193724 26.222497035193115)
240,POINT (-81.2720046779685 26.41072104516277)
241,POINT (-80.89357141709208 27.68387186916881)
242,POINT (-81.65274657229415 26.273322856374907)
243,POINT (-81.65308909901368 26.273682464877236)
244,POINT (-81.12882408590488 26.67996361841844)
245,POINT (-81.59022289516987 26.253720162568616)
246,POINT (-81.06324339515633 26.240778578396814)
247,POINT (-81.56296056960248 26.46163544416456)
248,POINT (-81.58719161288862 25.99014581218433)
249,POINT (-81.39950472040364 26.295027500317328)
250,POINT (-81.79245548570343 26.57680911149493)
251,POINT (-81.27130505295723 26.38167510222689)
252,POINT (-81.39611768101534 27.365242994054828)
253,POINT (-81.62017970395722 26.06762573115757)
254,POINT (-81.30442292093998 26.42218609701103)
255,POINT (-81.127414634614 26.60542113367727)
256,POINT (-81.19368801897306 25.985193970031556)
257,POINT (-80.77094305163044 26.32685936722543)
258,POINT (-81.12182611911176 26.459135231186796)
259,POINT (-81.55568011319522 26.709668939952305)
260,POINT (-81.10001487668963 26.222888182122382)
261,POINT (-81.34376404861487 26.357943941748957)
262,POINT (-81.02693807098355 26.546939721140888)
263,POINT (-81.7428245112835 26.261102111934026)
264,POINT (-81.3495858979189 26.250633743462384)
265,POINT (-81.0939222607859 25.952568789167156)
266,POINT (-81.52428413954233 26.15328036985134)
267,POINT (-81.78629239606735 26.56536788140216)
268,POINT (-81.68725545813818 26.100504874886624)
269,POINT (-81.00844127509158 26.346049073795882)
270,POINT (-81.55518904375528 26.15317358646752)
271,POINT (-81.05757976253004 25.85934425056263)
272,POINT (-81.60274258233396 26.15123976375343)
273,POINT (-81.19340988978134 26.428347694005595)
274,POINT (-81.76429633515698 26.677451211111954)
275,POINT (-80.9742820054713 28.126136765081622)
276,POINT (-81.3095450239602 26.421308292788865)
277,POINT (-81.09849630524454 26.214717459334256)
278,POINT (-81.42025391610638 26.761761154029028)
279,POINT (-81.54412963366251 26.19974424824423)
280,POINT (-81.32374552190296 26.614780015568364)
281,POINT (-80.9814208056431 26.544449003705473)
282,POINT (-81.30202846424511 26.40381661315186)
283,POINT (-81.34257365330265 26.300845175100758)
284,POINT (-81.09191244293275 26.45963615954655)
285,POINT (-80.98157052605487 26.549857498274612)
286,POINT (-81.27516849768676 25.892514766642716)
287,POINT (-81.00791851398672 28.452272484444126)
288,POINT (-81.5952412041472 26.344253202855178)
289,POINT (-81.6798191314527 26.050977873982333)
290,POINT (-81.34478343074814 26.36033425956438)
291,POINT (-81.34496947184347 26.128231628489214)
292,POINT (-81.55842577792852 26.263328037828753)
293,POINT (-81.59508021976008 26.33433084636018)
294,POINT (-81.35728355889358 25.933683492066006)
295,POINT (-81.5808660979677 25.987877833527968)
296,POINT (-81.23058791826949 26.624803135513265)
297,POINT (-81.63983772147424 26.509896369644242)
298,POINT (-81.49720784429053 26.36664010546069)
299,POINT (-81.57164384054734 26.709542342022296)
300,POINT (-81.17682416443492 26.26485572632305)
301,POINT (-81.28717307918886 26.433842430236314)
302,POINT (-81.75547596782505 26.492871476068284)
303,POINT (-81.48040369807434 26.561156917239774)
304,POINT (-81.37580263120795 26.123197288863878)
