,GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
0,id,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1,1400000US06037101110,"Census Tract 1011.10, Los Angeles County, California",1575,90,5.5,4.5,5.8,4.1,9.2,4.9,8.4,5.0,13.5,4.9,13.1,4.7,17.4,6.4,14.3,4.8,7.9,4.6,4.9,2.5,63534,16806,76530,8459,37.9,(X),(X),(X),(X),(X),1069,115,8.0,6.5,0.4,0.9,7.9,4.2,9.1,6.7,9.8,5.7,13.9,5.8,17.1,7.2,17.6,6.2,9.6,6.2,6.5,3.7,77159,15560,85467,10680,(X),(X),37.4,(X),(X),(X),678,122,5.8,8.5,0.0,5.0,6.2,5.1,6.3,6.4,14.2,8.8,10.3,6.3,17.7,9.0,15.6,7.6,15.2,9.3,8.7,5.4,93952,16301,N,N,(X),(X),(X),(X),(X),(X),506,108,7.7,6.8,17.2,12.1,10.5,11.3,7.1,5.8,15.0,9.0,18.0,10.2,11.3,9.5,11.9,9.0,0.0,6.7,1.4,2.5,46250,13514,51387,11706,(X),(X),(X),(X),38.9,(X)
2,1400000US06037101122,"Census Tract 1011.22, Los Angeles County, California",1312,63,5.0,3.9,1.6,1.7,3.6,3.7,4.6,3.9,4.5,4.2,15.2,7.4,22.7,9.0,20.2,6.4,8.8,4.2,13.7,5.6,90389,9796,114361,15405,50.4,(X),(X),(X),(X),(X),940,103,0.7,1.3,1.1,1.6,3.3,4.9,1.7,2.2,5.4,5.4,14.8,8.7,25.1,10.4,20.7,8.5,11.5,5.7,15.6,7.2,98214,16791,125621,19272,(X),(X),52.3,(X),(X),(X),739,123,0.0,4.6,1.4,2.0,0.0,4.6,2.2,2.8,1.1,1.8,14.2,9.7,29.5,12.2,19.4,9.4,13.7,7.0,18.7,8.7,103125,39711,N,N,(X),(X),(X),(X),(X),(X),372,102,15.9,12.5,3.0,4.8,4.3,5.0,12.1,12.0,4.6,5.2,16.4,13.7,16.7,15.8,16.4,10.4,1.9,3.1,8.9,7.3,62262,22671,80104,20305,(X),(X),(X),(X),43.0,(X)
3,1400000US06037101210,"Census Tract 1012.10, Los Angeles County, California",2297,98,11.8,5.4,5.9,3.0,13.8,5.3,12.1,5.9,14.9,6.1,14.3,5.1,11.4,5.1,11.1,4.5,2.3,2.2,2.5,2.6,44083,9483,57756,9532,34.6,(X),(X),(X),(X),(X),1566,135,11.0,6.5,1.0,1.6,16.3,8.2,15.5,9.1,17.1,7.9,14.2,6.7,9.7,5.9,11.0,4.9,2.4,2.7,1.7,1.9,40313,11384,55666,6825,(X),(X),32.1,(X),(X),(X),1140,181,5.6,5.7,1.3,2.1,12.7,8.3,15.6,9.9,20.0,9.6,15.1,8.0,11.5,7.8,13.9,6.7,3.3,3.7,1.0,1.6,47471,4876,N,N,(X),(X),(X),(X),(X),(X),731,145,13.4,10.2,16.4,8.9,14.0,9.7,11.2,9.5,10.3,8.5,7.9,6.8,9.3,8.6,11.2,9.4,2.1,3.3,4.2,6.3,29659,18145,56109,22317,(X),(X),(X),(X),34.2,(X)
4,1400000US06037101220,"Census Tract 1012.20, Los Angeles County, California",1357,57,6.3,4.0,9.4,4.3,13.3,5.7,9.5,4.2,20.1,6.2,10.8,4.2,9.0,4.4,13.4,5.2,5.1,3.4,3.0,2.3,43713,4639,62085,8694,33.8,(X),(X),(X),(X),(X),924,102,4.3,4.9,3.2,4.3,16.2,7.5,7.4,4.1,14.8,6.6,10.2,5.6,13.2,6.4,18.7,8.3,7.5,5.0,4.4,3.4,53750,23968,75770,12763,(X),(X),39.1,(X),(X),(X),623,98,0.0,5.5,0.0,5.5,18.3,9.9,4.5,4.1,16.1,8.4,10.6,6.8,14.0,8.5,22.5,9.2,7.5,4.8,6.6,5.0,75350,22310,N,N,(X),(X),(X),(X),(X),(X),433,94,10.4,7.8,22.6,9.7,15.5,9.1,9.2,6.8,29.8,11.6,10.4,6.4,0.0,7.8,2.1,3.6,0.0,7.8,0.0,7.8,26625,13571,29951,5497,(X),(X),(X),(X),17.8,(X)
5,1400000US06037101300,"Census Tract 1013, Los Angeles County, California",1445,93,5.4,3.5,1.2,1.3,6.4,4.5,7.0,3.8,9.1,4.4,16.1,5.8,13.5,4.8,17.9,5.4,11.0,4.9,12.3,5.2,81776,11857,96999,10243,47.4,(X),(X),(X),(X),(X),1064,103,1.7,1.8,0.0,3.2,3.3,4.1,4.0,4.2,7.0,4.6,19.6,7.1,14.7,5.8,21.2,7.0,12.5,6.1,15.9,6.7,99444,27671,112198,11984,(X),(X),49.5,(X),(X),(X),785,117,1.1,1.7,0.0,4.4,0.0,4.4,2.3,2.5,7.5,5.9,18.6,7.1,12.0,6.4,23.3,8.9,16.9,7.9,18.2,8.2,121936,7956,N,N,(X),(X),(X),(X),(X),(X),381,90,15.7,11.4,4.7,5.0,15.0,12.6,15.2,10.5,15.0,10.8,6.3,6.5,10.2,6.7,11.0,7.8,4.5,4.8,2.4,4.0,34811,14716,53997,12367,(X),(X),(X),(X),41.5,(X)
